0.3825,27.75,-16.8987564554,78.3839702524
0.5725,6.75,-14.0803689895,81.9328757686
0.4775,21.75,-15.5452694474,80.2036600476
0.8258333333,5.25,-13.1130618191,86.7558112858
0.9841666667,33.75,-14.5783173794,90.1499900265
0.3191666667,38.25,-18.4127832819,77.3727353092
0.1608333333,41.25,-19.9296089638,74.2764604024
0.4458333333,15.75,-15.1297554538,79.4489097734
0.5091666667,42.75,-17.8922429678,81.5702762731
0.4141666667,0.75,-14.6921951563,78.6793198487
0.7625,14.25,-13.4554067303,85.647321133
0.1925,17.25,-16.9277935504,74.3577603132
0.0658333333,20.25,-18.0796558269,71.8719042777
0.6041666667,12.75,-14.2759888086,82.6355757746
0.9208333333,9.75,-12.977825047,88.4375070753
0.7941666667,44.25,-16.6389525138,87.2690428568
0.6358333333,29.25,-15.6298925876,83.6334122165
0.7308333333,36.75,-16.025381205,85.7681800896
0.0975,32.25,-19.2695796808,72.7130786732
0.8575,30.75,-15.019360909,87.856192602
0.2558333333,24.75,-17.2798615646,75.7202005877
0.5408333333,26.25,-15.6811497022,81.614885553
0.6675,3.75,-13.6476071686,83.7899339151
0.6991666667,18.75,-14.3024925136,84.6021767408
0.8891666667,39.75,-15.4631645518,88.771638152
0.9525,23.25,-13.6362140138,89.2544736927
0.2241666667,35.25,-18.5861957801,75.3336390351
0.1291666667,2.25,-16.4472545267,72.9861002183
0.2875,11.25,-15.7004439195,76.1755924357
0.3508333333,8.25,-15.2177013407,77.436790392
0.05,0,-17.1078142969,71.4504896511
0.05,45,-21.2148031841,72.178372339
1,0,-12.3572984951,89.7656118857
1,45,-15.9201090558,90.9427381938
