"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
8444, 3.045489520900000e+00, 3.212788785200000e+00, 3.150690218100000e-01, 4.690458224130699e+00, 4.523450196899717e-01, 3.181036973022680e-01
18374, 3.036324158300000e+00, 3.216625203100000e+00, 3.178291088900000e-01, 4.566181459744150e+00, 2.037914909168723e-01, 3.650473316371114e-01
17746, 3.034595719000000e+00, 3.228066613500000e+00, 3.198416121200000e-01, 4.525358530709767e+00, 1.221456328481061e-01, 3.649123803428641e-01
19069, 3.040203397600000e+00, 3.241458771600000e+00, 3.164294852900000e-01, 4.571599959631756e+00, 2.146284906920854e-01, 3.468532091013658e-01
7, 3.028302026400000e+00, 3.237632768800000e+00, 3.082889183800000e-01, 4.349050458305418e+00, -2.304705119605917e-01, 3.579509756441460e-01
8094, 3.028586550600000e+00, 3.221129945500000e+00, 3.088346985800000e-01, 4.772060725083072e+00, 6.155500215947161e-01, 3.917044819691623e-01
8445, 3.034723866600000e+00, 3.209637175800000e+00, 3.113210404500000e-01, 5.029523101222728e+00, 1.130474773874029e+00, 3.617889627459396e-01
5983, 3.016170889100000e+00, 3.237632768800000e+00, 3.040766380900000e-01, 4.460532638319811e+00, -7.506151931805150e-03, 3.884638986290739e-01
5984, 3.020439846600000e+00, 3.228513227200000e+00, 3.057903803200000e-01, 4.810654430532307e+00, 6.927374324931872e-01, 3.650982526687030e-01
19070, 3.027865763600000e+00, 3.245219417000000e+00, 3.159976841200000e-01, 4.606431805880056e+00, 2.842921831886844e-01, 3.538658329260734e-01
8, 2.199697425300000e+00, 3.237632768800000e+00, 2.593516533900000e-01, 4.959398095347988e+00, 9.902247621245497e-01, 2.972352869340174e-01
9, 2.194670399200000e+00, 3.229290324500000e+00, 2.563719610300000e-01, 4.619558274555764e+00, 3.105451205401000e-01, 3.267301214494618e-01
10, 2.197681654400000e+00, 3.237632768800000e+00, 2.720562692900000e-01, 4.975580734018067e+00, 1.022590039464706e+00, 2.630179091428013e-01
8571, 2.204361876200000e+00, 3.237632768800000e+00, 2.472969860000000e-01, 4.529502935925240e+00, 1.304344432790536e-01, 3.691145346646486e-01
19073, 2.205702042900000e+00, 3.247657912500000e+00, 2.730491780300000e-01, 4.665211092973497e+00, 4.018507573755663e-01, 3.636346040116297e-01
19182, 2.210521568400000e+00, 3.246337015200000e+00, 2.496798771700000e-01, 4.777050429512670e+00, 6.255294304539127e-01, 3.350802904407225e-01
19446, 2.210050792900000e+00, 3.250610555500000e+00, 2.629255874500000e-01, 4.674177252777179e+00, 4.197830769829309e-01, 3.968373232760599e-01
1327, 2.190447120400000e+00, 3.226971269500000e+00, 2.710681872200000e-01, 4.647513992091516e+00, 3.664565556116042e-01, 3.005324852073812e-01
1328, 2.187176246900000e+00, 3.219304332000000e+00, 2.579251339300000e-01, 4.597055067374318e+00, 2.655387061772085e-01, 2.828790881901861e-01
8439, 2.191301944700000e+00, 3.217788637500000e+00, 2.445637232600000e-01, 4.855478045188162e+00, 7.823846618048975e-01, 3.450461382268766e-01
3748, 2.200945290400000e+00, 3.228908576500000e+00, 2.419573929200000e-01, 4.564409593107352e+00, 2.002477576432771e-01, 3.766644562776680e-01
16769, 2.198358388700000e+00, 3.237632768800000e+00, 2.849019934200000e-01, 4.194153784078766e+00, -5.402638604138943e-01, 3.647637543202143e-01
11, 2.613512375600000e+00, 2.660395502700000e+00, 1.870347802800000e-01, 4.344263061029252e+00, -2.400453065129238e-01, 3.714694881223183e-01
12, 2.640728010300000e+00, 2.669206807400000e+00, 1.947727840400000e-01, 4.399063863559835e+00, -1.304437014517568e-01, 3.606248702561524e-01
13, 2.648268417100000e+00, 2.640320546900000e+00, 1.971941441700000e-01, 4.435489204267094e+00, -5.759302003723832e-02, 3.529624777747459e-01
4089, 2.629399419500000e+00, 2.690729429200000e+00, 1.914020699700000e-01, 4.483653200966979e+00, 3.873497336253173e-02, 3.653730441469791e-01
7407, 2.615455219600000e+00, 2.628075968600000e+00, 1.877485050200000e-01, 4.398765599444186e+00, -1.310402296830553e-01, 3.676125063249677e-01
4200, 2.605230471400000e+00, 2.700703013700000e+00, 1.846022726500000e-01, 4.370010548343881e+00, -1.885503318836648e-01, 3.723718344303930e-01
4199, 2.580936919800000e+00, 2.669039682400000e+00, 1.779669730500000e-01, 4.321847475803305e+00, -2.848764769648167e-01, 3.757300450178684e-01
8941, 2.579894823600000e+00, 2.635946550200000e+00, 1.777120654500000e-01, 4.396521839227068e+00, -1.355277501172907e-01, 3.765684998759744e-01
1449, 2.662803410200000e+00, 2.666499538700000e+00, 2.012515569000000e-01, 4.367184013752463e+00, -1.942034010665008e-01, 3.485252835283542e-01
1450, 2.653731351100000e+00, 2.693451216600000e+00, 1.983750764200000e-01, 4.359149882586049e+00, -2.102716633993289e-01, 3.545343744420693e-01
7393, 2.677210759800000e+00, 2.649182739300000e+00, 2.057245277800000e-01, 4.442625626992097e+00, -4.332017458723314e-02, 3.439582039151184e-01
6835, 2.661511523000000e+00, 2.613906622900000e+00, 2.013870306300000e-01, 4.533457992777521e+00, 1.383445569836148e-01, 3.582504492923896e-01
6212, 2.679762521600000e+00, 2.623266715400000e+00, 2.067967633500000e-01, 4.434853024031810e+00, -5.886538050780743e-02, 3.489620662539265e-01
